Date,Open,High,Low,Close,Volume
1977/6/14,6.7872,6.7872,6.7023,6.7872,2780
1977/6/15,6.7872,6.7872,6.7236,6.7448,3353
1977/6/16,6.7448,6.7448,6.6812,6.7448,12511
1977/6/17,6.7447,6.7659,6.7235,6.7659,6869
1977/6/20,6.766,6.766,6.7024,6.7448,2494
1977/6/21,6.7448,6.7872,6.7448,6.7448,5601
1977/6/22,6.7447,6.7659,6.7235,6.7659,2780
1977/6/23,6.766,6.7872,6.7448,6.7872,3434
1977/6/24,6.7872,6.8084,6.7448,6.7872,8014
1977/6/27,6.7872,6.8084,6.7448,6.7448,3803
1977/6/28,6.7448,6.766,6.7448,6.7448,3353
1977/6/29,6.7448,6.7872,6.6811,6.7872,2780
1977/6/30,6.7871,6.7871,6.7659,6.7659,7891
1977/7/1,6.7872,6.8296,6.7872,6.8296,3762
1977/7/5,6.8296,6.872,6.8084,6.8508,4743
1977/7/6,6.8932,6.9356,6.8932,6.8932,4129
1977/7/7,6.8932,6.9568,6.8932,6.9568,7932
1977/7/8,6.9568,6.978,6.9144,6.9568,3475
1977/7/11,6.9568,6.9992,6.9356,6.9992,3925
1977/7/12,6.9992,7.0204,6.9568,6.9992,5765
1977/7/13,6.9992,7.0204,6.978,7.0204,3843
1977/7/15,7.0204,7.0416,6.9992,7.0204,4620
1977/7/18,6.9568,6.9568,6.8508,6.8932,3230
1977/7/19,6.8932,6.9992,6.8932,6.9992,3353
1977/7/20,6.9992,7.0629,6.9992,7.0417,6256
1977/7/21,7.0417,7.0841,7.0417,7.0841,4048
1977/7/22,7.0629,7.0629,6.9781,6.9781,5193
1977/7/25,6.978,7.0204,6.978,6.9992,9077
1977/7/26,6.9992,7.0416,6.978,7.0204,3271
1977/7/27,7.0204,7.0629,6.978,6.9992,2699
1977/7/28,6.9992,6.9992,6.9144,6.9356,6664
1977/7/29,6.9356,6.9781,6.8508,6.8932,5847
1977/8/1,6.8932,6.9356,6.872,6.872,5397
1977/8/2,6.872,6.8932,6.8296,6.8932,2944
1977/8/3,6.8932,6.9356,6.8296,6.9144,3312
1977/8/4,6.9145,6.9781,6.8932,6.9781,3475
1977/8/5,6.9781,7.0629,6.9568,7.0629,3598
1977/8/8,7.0629,7.0629,6.9992,6.9992,3066
1977/8/9,6.9992,7.0204,6.8932,6.8932,3271
1977/8/10,6.8932,6.9992,6.8932,6.9992,2944
1977/8/11,6.9992,7.0629,6.9356,6.9356,4334
1977/8/12,6.9356,6.9356,6.872,6.8932,1717
1977/8/15,6.8932,6.9144,6.7447,6.8296,2167
1977/8/16,6.7236,6.7236,6.5539,6.5539,2576
1977/8/17,6.4902,6.4902,6.3417,6.4902,7891
1977/8/18,6.4902,6.5114,6.469,6.5114,2535
1977/8/19,6.5114,6.5326,6.4478,6.469,5356
1977/8/22,6.469,6.5327,6.4478,6.4902,3107
1977/8/23,6.4901,6.5326,6.469,6.5326,2249
1977/8/24,6.5326,6.5538,6.4901,6.5326,2249
1977/8/25,6.5326,6.5538,6.5114,6.5326,2167
1977/8/26,6.5539,6.6599,6.5539,6.6387,6419
1977/8/29,6.6387,6.7023,6.6387,6.6599,3107
1977/8/30,6.6599,6.6811,6.6599,6.6599,9036
1977/8/31,6.6599,6.7235,6.6599,6.7235,4497
1977/9/1,6.7448,6.7872,6.7448,6.7448,4579
1977/9/2,6.7872,6.8508,6.7872,6.8296,3026
1977/9/6,6.8296,6.8508,6.7872,6.8084,5520
1977/9/7,6.8084,6.872,6.7872,6.872,2535
1977/9/8,6.872,6.9992,6.8508,6.872,3925
1977/9/9,6.8508,6.8508,6.7872,6.8296,5111
1977/9/12,6.8084,6.8084,6.766,6.7872,4252
1977/9/13,6.7872,6.8296,6.7236,6.8084,5888
1977/9/14,6.8084,6.8296,6.7659,6.8084,3394
1977/9/15,6.8084,6.8084,6.7872,6.7872,6092
1977/9/16,6.7872,6.8084,6.7872,6.8084,8055
1977/9/19,6.8084,6.8084,6.766,6.7872,2985
1977/9/20,6.7872,6.8084,6.7448,6.7872,5929
1977/9/21,6.7872,6.8297,6.7236,6.7448,17827
1977/9/22,6.7447,6.7447,6.6599,6.6811,9935
1977/9/23,6.6811,6.6811,6.6387,6.6599,1636
1977/9/26,6.6599,6.6599,6.5751,6.5963,4825
1977/9/27,6.5962,6.6386,6.5326,6.575,4702
1977/9/28,6.575,6.5962,6.5326,6.5326,2453
1977/9/29,6.5327,6.5963,6.5114,6.5963,3394
1977/9/30,6.5963,6.6175,6.5539,6.6175,3721
1977/10/3,6.6386,6.7235,6.6386,6.7235,3884
1977/10/4,6.7235,6.7659,6.6174,6.7235,4048
1977/10/5,6.7235,6.7447,6.6811,6.7023,2903
1977/10/6,6.7024,6.7872,6.6812,6.7448,11530
1977/10/7,6.7448,6.766,6.7024,6.7448,26413
1977/10/10,6.7448,6.766,6.7236,6.7448,1349
1977/10/11,6.7447,6.7659,6.6811,6.6811,4007
1977/10/12,6.6387,6.6387,6.5539,6.6175,4089
1977/10/13,6.5963,6.5963,6.5114,6.5114,5274
1977/10/14,6.5114,6.5539,6.4266,6.5539,7728
1977/10/17,6.5114,6.5114,6.4054,6.4902,4579
1977/10/18,6.4902,6.5327,6.363,6.4478,1636
1977/10/19,6.4478,6.4902,6.4054,6.4054,4375
1977/10/20,6.4055,6.4478,6.2994,6.363,3353
1977/10/21,6.3629,6.3629,6.2993,6.3417,2494
1977/10/24,6.2993,6.2993,6.1933,6.2145,4170
1977/10/25,6.1932,6.1932,6.0448,6.1084,5888
1977/10/26,6.1084,6.2781,6.0448,6.2781,5888
1977/10/27,6.2781,6.3841,6.2569,6.2781,5806
1977/10/28,6.2781,6.3417,6.2568,6.2993,1554
1977/10/31,6.2993,6.3417,6.1933,6.2357,3802
1977/11/1,6.2357,6.2357,6.0448,6.0448,2576
1977/11/2,6.0449,6.0873,5.96,6.0024,4129
1977/11/3,6.0023,6.0448,5.96,6.0448,4784
1977/11/4,6.0873,6.1509,6.0873,6.1297,3312
1977/11/7,6.1296,6.1508,6.1084,6.1084,1962
1977/11/8,6.1084,6.1508,6.0872,6.1508,3639
1977/11/9,6.172,6.3205,6.172,6.3205,3721
1977/11/10,6.3206,6.4055,6.3206,6.363,9240
1977/11/11,6.3842,6.5539,6.3842,6.5114,4375
1977/11/14,6.5114,6.5539,6.4478,6.4478,5888
1977/11/15,6.4478,6.469,6.3417,6.469,6378
1977/11/16,6.4901,6.5326,6.4901,6.5326,3271
1977/11/17,6.5326,6.575,6.4478,6.5114,2576
1977/11/18,6.5114,6.5538,6.469,6.5326,2535
1977/11/21,6.5539,6.5963,6.5539,6.5963,2617
1977/11/22,6.5963,6.7235,6.575,6.6599,2535
1977/11/23,6.6599,6.7023,6.575,6.575,4089
1977/11/25,6.5751,6.6387,6.5751,6.5963,1840
1977/11/28,6.5963,6.5963,6.4902,6.4902,17786
1977/11/29,6.4902,6.4902,6.4266,6.4478,2617
1977/11/30,6.4478,6.4902,6.4478,6.4902,3312
1977/12/1,6.4902,6.4902,6.4266,6.4902,6460
1977/12/2,6.4902,6.5539,6.4902,6.5539,2699
1977/12/5,6.5538,6.6174,6.5538,6.575,3475
1977/12/6,6.575,6.575,6.5114,6.5326,9527
1977/12/7,6.5327,6.5539,6.469,6.4902,3843
1977/12/8,6.4902,6.5326,6.4266,6.469,8872
1977/12/9,6.469,6.5114,6.4478,6.4902,4211
1977/12/12,6.4478,6.5539,6.4478,6.5114,3394
1977/12/13,6.5114,6.5326,6.4901,6.5326,1717
1977/12/14,6.5326,6.5962,6.5114,6.575,3557
1977/12/15,6.575,6.5962,6.5538,6.575,4252
1977/12/16,6.575,6.575,6.5114,6.575,6378
1977/12/19,6.575,6.575,6.4901,6.5326,8382
