Date,Open,High,Low,Close,Volume
1994/4/25,3.9936,4.0735,3.9803,4.0602,279447
1994/4/26,4.0735,4.0735,3.967,3.967,197786
1994/4/28,4.0202,4.0336,3.9803,3.9936,232161
1994/4/29,3.9669,4.0335,3.9537,4.0069,235525
1994/5/2,4.007,4.0868,3.967,4.0602,264069
1994/5/3,4.0735,4.1667,4.0735,4.1667,200725
1994/5/4,4.1401,4.1533,4.0602,4.1001,144877
1994/5/5,4.1134,4.1134,4.0735,4.1001,117742
1994/5/6,4.0734,4.0734,4.0069,4.0468,138997
1994/5/9,4.0202,4.0202,3.967,3.9936,120809
1994/5/10,4.0469,4.0868,4.0202,4.0602,189862
1994/5/11,4.0336,4.0735,3.9537,3.967,174016
1994/5/12,4.0336,4.0868,4.0203,4.0735,178403
1994/5/13,4.1,4.1932,4.0734,4.1799,430748
1994/5/16,4.1533,4.1666,4.1134,4.14,209283
1994/5/17,4.1134,4.1667,4.1001,4.1267,121320
1994/5/18,4.1267,4.2598,4.1267,4.2066,246347
1994/5/19,4.1799,4.2465,4.1799,4.2199,164258
1994/5/20,4.2065,4.2065,4.14,4.1533,133885
1994/5/23,4.2343,4.3152,4.2074,4.2613,231901
1994/5/24,4.3211,4.4434,4.3211,4.4162,235935
1994/5/25,4.4026,4.4298,4.3208,4.3753,148776
1994/5/26,4.389,4.389,4.3344,4.3481,90854
1994/5/27,4.3481,4.3617,4.3208,4.3617,77987
1994/5/31,4.3344,4.3344,4.2253,4.2526,130631
1994/6/1,4.239,4.2936,4.1709,4.2799,224190
1994/6/2,4.2526,4.2936,4.239,4.2799,177651
1994/6/3,4.2936,4.2936,4.2526,4.2799,163083
1994/6/6,4.2799,4.2936,4.1981,4.2118,149738
1994/6/7,4.1845,4.1981,4.1572,4.1981,146944
1994/6/8,4.2526,4.3481,4.239,4.3208,167139
1994/6/9,4.3072,4.3209,4.2663,4.3072,145333
1994/6/10,4.3208,4.3889,4.3208,4.3753,151262
1994/6/13,4.3753,4.4026,4.3344,4.3344,180355
1994/6/14,4.3617,4.4162,4.3481,4.4026,190213
1994/6/15,4.4026,4.4708,4.4026,4.4435,162474
1994/6/16,4.4298,4.4434,4.3753,4.3753,118506
1994/6/17,4.4162,4.4162,4.3208,4.3208,198936
1994/6/20,4.2663,4.2663,4.2118,4.2118,88935
1994/6/21,4.2118,4.2254,4.0482,4.0891,237364
1994/6/22,4.1027,4.1572,4.1027,4.1572,130980
1994/6/23,4.1708,4.2117,4.0345,4.0345,113882
1994/6/24,4.0345,4.0345,3.8573,3.8846,354121
1994/6/27,3.8847,4.0755,3.871,4.0755,139182
1994/6/28,4.0346,4.1027,3.9937,3.9937,129019
1994/6/29,4.021,4.13,4.021,4.0891,131549
1994/6/30,4.13,4.13,4.0482,4.0891,147949
1994/7/1,4.1436,4.1846,4.1164,4.1709,104245
1994/7/5,4.1436,4.1436,4.0755,4.0891,109304
1994/7/6,4.0618,4.0618,4.0072,4.0345,93818
1994/7/7,4.0345,4.0618,3.9255,3.9664,164260
1994/7/8,3.9528,4.0618,3.9528,4.0618,175252
1994/7/11,4.0482,4.0891,4.0346,4.0755,125443
1994/7/12,4.0754,4.1027,4.0345,4.0345,56963
1994/7/13,4.0482,4.13,4.0346,4.0891,111442
1994/7/14,4.1163,4.2118,4.1027,4.1845,114232
1994/7/15,4.2118,4.2118,4.1845,4.1981,130196
1994/7/18,4.1845,4.2799,4.1708,4.2526,179438
1994/7/19,4.2526,4.2526,4.1708,4.2526,240981
1994/7/20,4.2526,4.2663,4.13,4.1845,182754
1994/7/21,4.2798,4.3208,4.2117,4.2935,473586
1994/7/22,4.2936,4.3754,4.2799,4.3481,235532
1994/7/25,4.348,4.4571,4.348,4.4298,145329
1994/7/26,4.4026,4.4162,4.3616,4.3889,95476
1994/7/27,4.3753,4.3753,4.2935,4.3208,227505
1994/7/28,4.2936,4.3072,4.2391,4.3072,114495
1994/7/29,4.3071,4.4162,4.3071,4.3753,153966
1994/8/1,4.3753,4.4298,4.3344,4.4298,87712
1994/8/2,4.4298,4.4571,4.3344,4.3344,128233
1994/8/3,4.3344,4.3617,4.3071,4.3344,67911
1994/8/4,4.3208,4.3617,4.3072,4.3481,100407
1994/8/5,4.3209,4.3345,4.2799,4.3072,143021
1994/8/8,4.3071,4.3617,4.3071,4.3208,126706
1994/8/9,4.3208,4.3753,4.3208,4.3753,162689
1994/8/10,4.3617,4.3753,4.3344,4.3344,104200
1994/8/11,4.3344,4.3889,4.3071,4.3753,150782
1994/8/12,4.3616,4.4298,4.3616,4.3889,110393
1994/8/15,4.4162,4.4162,4.3481,4.3617,118377
1994/8/16,4.3889,4.3889,4.2935,4.3208,229860
1994/8/17,4.3344,4.3481,4.2935,4.3344,145112
1994/8/18,4.2936,4.3345,4.2663,4.3072,157196
1994/8/19,4.3208,4.3208,4.2662,4.2935,132375
